,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
266,Dingle,67,PH,1557530454,64,11.0,122.67,85.55,4.05
267,Pontes e Lacerda,0,BR,1557530454,73,-15.23,-59.33,75.83,2.98
268,Nemuro,39,JP,1557530401,81,43.32,145.57,39.11,8.48
269,Lavrentiya,95,RU,1557530455,97,65.58,-170.99,30.11,11.1
270,Alofi,40,NU,1557525600,61,-19.06,-169.92,80.6,13.87
271,Cumra,40,TR,1557528600,61,37.57,32.77,48.16,3.36
272,Portland,1,US,1557530345,10,45.52,-122.67,85.73,3.36
273,Aklavik,75,CA,1557529200,51,68.22,-135.01,41.25,5.82
274,Avera,40,US,1557530428,74,33.19,-82.53,82.33,4.7
275,Hamilton,75,CA,1557530299,70,43.26,-79.87,47.57,13.87
276,Enshi,78,CN,1557530457,69,30.29,109.48,63.41,1.14
277,Baruun-Urt,95,MN,1557530457,61,46.68,113.28,34.25,24.49
278,Marawi,66,PH,1557530171,77,8.0,124.29,79.0,7.0
279,French Harbor,75,HN,1557529200,79,16.35,-86.43,84.2,18.34
280,Vao,50,EE,1557530458,97,59.1,26.19,43.79,3.27
281,Podgorenskiy,22,RU,1557530459,96,50.4,39.64,46.85,7.76
282,Kushiro,40,JP,1557525600,65,43.11,144.15,46.4,10.29
283,Nelson Bay,75,AU,1557530444,66,-32.72,152.14,58.51,23.04
284,Ancud,90,CL,1557525600,100,-41.87,-73.83,51.8,19.46
285,Miles City,1,US,1557530457,27,46.41,-105.84,58.64,10.29
286,Crotone,0,IT,1557530461,59,39.09,17.12,57.65,5.64
287,Altay,86,CN,1557530293,31,47.83,88.13,30.65,11.23
288,Udayagiri,87,IN,1557530462,80,12.32,76.68,74.57,4.03
289,Talnakh,75,RU,1557527400,92,69.49,88.39,26.6,11.18
290,Trairi,100,BR,1557530463,96,-3.28,-39.27,74.21,3.67
291,Guerrero Negro,3,MX,1557530463,75,27.97,-114.04,63.95,12.06
292,Wajima,94,JP,1557530463,69,37.4,136.9,62.33,3.36
293,Ulkan,9,RU,1557530464,56,57.24,107.32,38.21,7.67
294,Am Timan,38,TD,1557530464,38,11.04,20.28,89.33,2.04
295,Fukue,75,JP,1557530383,72,35.03,136.69,75.61,5.82
296,Paamiut,62,GL,1557530465,93,61.99,-49.67,37.49,8.05
297,Maragogi,79,BR,1557530465,91,-9.01,-35.22,74.57,2.91
298,Namibe,23,AO,1557530465,84,-15.19,12.15,74.75,2.51
299,Nome,40,US,1557530409,73,30.04,-94.42,76.12,8.05
300,Tuatapere,96,NZ,1557530405,86,-46.13,167.69,57.99,1.99
301,Matagami,100,NG,1557530469,84,9.67,8.4,75.29,4.29
302,Sabha,0,LY,1557530470,9,27.03,14.43,84.83,7.25
303,Tolbazy,40,RU,1557527400,87,54.01,55.89,53.6,6.71
304,Laramie,40,US,1557530382,31,41.31,-105.59,47.53,9.17
305,Bellmead,90,US,1557530420,72,31.59,-97.11,60.75,9.17
306,Port Blair,100,IN,1557530471,77,11.67,92.75,84.83,11.92
307,Poum,1,MK,1557530471,84,41.28,20.71,42.53,2.86
308,Luderitz,0,NA,1557525600,49,-26.65,15.16,68.0,4.7
309,Bemidji,40,US,1557530437,24,47.48,-94.89,57.33,9.17
310,Algiers,90,US,1557530458,83,29.94,-90.04,79.3,5.82
311,Raymondville,40,US,1557530453,54,37.34,-91.83,60.8,8.05
312,Skelleftea,100,SE,1557530337,100,64.75,20.95,41.92,2.24
313,Pyapon,99,MM,1557530473,74,16.29,95.68,83.21,9.78
314,Hasaki,75,JP,1557527400,77,35.73,140.83,62.11,3.36
315,Egvekinot,83,RU,1557530474,90,66.32,-179.17,19.31,10.09
316,Sioux Lookout,75,CA,1557525600,31,50.1,-91.92,52.23,10.29
317,Wlodawa,40,PL,1557527400,93,51.55,23.55,41.0,1.12
318,Banfora,55,BF,1557530474,57,10.64,-4.75,87.53,2.48
319,Rio Gallegos,75,AR,1557525600,50,-51.62,-69.22,51.8,16.11
320,West Wendover,1,US,1557525360,22,40.74,-114.07,64.4,11.41
321,Lamar,90,US,1557530140,57,38.09,-102.62,51.91,9.17
322,Vaitape,48,PF,1557530476,74,-16.52,-151.75,83.21,10.58
323,Charters Towers,53,AU,1557530476,32,-20.07,146.27,64.49,21.81
324,Lalibela,36,ET,1557530476,42,12.04,39.05,65.21,5.7
325,Buala,66,SB,1557530476,78,-8.15,159.59,82.85,8.72
326,Sapele,96,NG,1557530477,83,5.89,5.68,80.87,2.66
327,Lobva,0,RU,1557530477,79,59.19,60.52,49.91,6.13
328,Pangody,0,RU,1557530477,88,65.85,74.49,26.69,16.82
329,Awjilah,0,LY,1557530478,37,29.14,21.3,74.57,12.28
330,Sola,75,FI,1557530225,100,62.78,29.36,50.99,2.24
331,Wagar,100,US,1557530414,86,31.44,-87.99,77.63,3.11
332,Matara,14,PE,1557530479,84,-13.74,-72.9,41.09,5.91
333,Yaan,91,NG,1557530479,81,7.38,8.57,79.61,4.83
334,Tygda,96,RU,1557530479,71,53.11,126.33,54.77,4.85
335,Sao Gabriel da Cachoeira,69,BR,1557530480,89,-0.13,-67.09,76.55,1.43
336,Constitucion,5,MX,1557530415,10,23.99,-104.67,77.81,14.99
337,Esperance,20,TT,1557530409,74,10.24,-61.45,82.87,13.87
338,Manta,27,RO,1557530481,80,45.1,24.1,45.59,4.94
339,Calama,0,CL,1557525600,24,-22.46,-68.93,59.0,21.92
340,Pa Sang,20,TH,1557530471,65,18.53,98.94,84.11,2.24
341,Cherskiy,100,RU,1557530482,100,68.75,161.3,32.99,5.61
342,Coos Bay,1,US,1557530431,76,43.37,-124.22,64.94,8.05
343,Hualmay,13,PE,1557530482,90,-11.1,-77.61,66.83,18.54
344,Lorengau,72,PG,1557530482,70,-2.02,147.27,85.01,6.87
345,Maniitsoq,2,GL,1557530483,77,65.42,-52.9,36.95,1.68
346,Kiunga,100,PG,1557530483,82,-6.12,141.3,81.77,1.32
347,Ngunguru,0,NZ,1557529684,84,-35.62,174.5,66.0,3.0
348,Chumikan,100,RU,1557530484,40,54.72,135.31,45.23,5.17
349,Bocas del Toro,93,PA,1557530400,92,9.33,-82.25,59.0,3.33
350,Corsicana,90,US,1557530467,82,32.09,-96.46,59.83,5.82
351,Jose Bonifacio,75,BR,1557525600,83,-21.05,-49.69,75.2,5.82
352,Clyde River,75,CA,1557525600,92,70.47,-68.59,30.2,10.29
353,Svetlogorsk,90,RU,1557527400,72,53.14,59.15,59.0,4.47
354,Palmer,75,AU,1557530446,77,-34.85,139.16,56.8,11.41
355,Vilhena,20,BR,1557525600,74,-12.74,-60.15,80.6,3.36
356,Dunedin,99,NZ,1557530448,86,-45.87,170.5,55.99,10.0
357,Simga,14,IN,1557530496,18,21.63,81.7,93.47,0.94
358,Port-Gentil,40,GA,1557529200,94,-0.72,8.78,80.6,6.93
359,Kavieng,43,PG,1557530496,72,-2.57,150.8,84.11,6.98
360,Carutapera,100,BR,1557530497,91,-1.2,-46.02,77.99,5.32
361,Qasigiannguit,13,GL,1557528600,76,68.82,-51.19,32.0,3.36
362,Evensk,0,RU,1557530497,49,61.92,159.24,48.65,7.72
363,Artyshta,53,RU,1557530498,41,54.12,86.29,43.25,3.83
364,Kaka,99,TM,1557530498,28,37.35,59.62,83.03,4.61
365,Gazanjyk,100,TM,1557530498,25,39.24,55.52,85.73,7.0
366,Jumla,0,NP,1557530499,36,29.28,82.18,41.81,5.61
367,Abonnema,75,NG,1557525600,94,4.71,6.79,77.0,1.52
368,Belmonte,17,PT,1557530136,92,40.36,-7.35,48.0,2.01
369,Pailon,75,BO,1557525600,83,-17.66,-62.72,77.86,8.05
370,Atar,0,MR,1557530500,5,20.52,-13.05,90.77,3.85
371,Madison Heights,40,US,1557530470,63,42.49,-83.11,55.89,9.17
372,Arman,66,RU,1557530500,51,59.7,150.17,53.87,4.38
373,Elko,1,US,1557530112,16,40.83,-115.76,63.32,6.93
374,Lianzhou,7,CN,1557530501,68,24.79,112.38,71.51,0.11
375,Bom Jesus,51,BR,1557530502,70,-9.08,-44.36,77.81,2.39
376,Shingu,0,JP,1557528000,55,33.72,135.99,66.2,2.24
377,Tarboro,90,US,1557530445,51,35.9,-77.54,78.73,5.82
378,Uruguaiana,90,BR,1557525600,93,-29.77,-57.08,64.4,14.99
379,Santa Maria,75,BR,1557525600,94,-29.69,-53.81,69.8,4.7
380,Port Macquarie,75,AU,1557530405,50,-31.43,152.91,59.31,13.87
381,Umm Lajj,0,SA,1557530504,60,25.02,37.27,76.91,10.47
382,Bonavista,2,CA,1557530125,88,48.65,-53.11,34.0,3.0
383,Boa Vista,91,BR,1557530506,68,2.82,-60.67,84.11,9.62
384,Pike Creek,90,US,1557530498,83,39.73,-75.7,69.22,6.93
385,Northam,40,GB,1557530485,93,51.04,-4.21,47.1,2.24
386,San Patricio,100,PY,1557530507,97,-26.98,-56.83,68.63,7.96
387,Ugoofaaru,24,MV,1557530508,67,5.67,73.0,85.19,6.42
388,Puerto Colombia,75,CO,1557530109,83,10.99,-74.96,79.5,8.05
389,Warrington,90,GB,1557530281,87,53.39,-2.59,43.72,6.93
390,Pangai,40,TO,1557525600,69,-19.8,-174.35,80.6,10.29
391,Chamba,92,IN,1557530509,41,32.56,76.12,62.33,8.68
392,Sokoni,59,CD,1557530509,87,-12.89,28.78,59.81,5.91
393,Shahr-e Babak,34,IR,1557530510,37,30.12,55.12,66.47,2.86
394,Porto Belo,75,BR,1557530285,94,-27.15,-48.54,73.89,3.36
395,Tommot,67,RU,1557530510,42,58.97,126.27,49.73,12.8
396,Slonim,55,BY,1557530511,86,53.09,25.32,50.27,1.72
397,Sobolevo,100,RU,1557530511,96,54.43,31.9,49.55,6.58
398,Siguiri,17,GN,1557530511,22,11.42,-9.17,91.31,2.57
399,Nhulunbuy,75,AU,1557527400,65,-12.18,136.78,77.0,12.75
400,Antalaha,74,MG,1557530512,99,-14.9,50.28,67.01,1.86
401,Stryn,100,NO,1557530401,96,61.9,6.72,36.32,1.01
402,Bushehr,0,IR,1557525000,57,28.97,50.84,80.6,9.17
403,Port Lincoln,83,AU,1557530513,72,-34.72,135.86,59.63,14.5
404,Moerai,100,PF,1557530513,86,-22.43,-151.33,75.47,5.44
405,Boizenburg,0,DE,1557530441,93,53.38,10.72,37.87,2.24
406,Alamosa,90,US,1557530313,75,37.47,-105.87,42.44,10.29
407,Kaputa,71,ZM,1557530514,85,-8.47,29.66,66.11,6.22
408,Marakkanam,17,IN,1557530514,69,12.2,79.95,85.19,11.34
409,Klaksvik,96,FO,1557528600,57,62.23,-6.59,37.4,2.24
410,Launceston,90,AU,1557530182,93,-41.43,147.14,42.39,6.93
411,Valls,0,ES,1557530509,93,41.28,1.25,62.69,3.65
412,Gigmoto,82,PH,1557530516,73,13.78,124.39,84.29,3.94
413,Kralendijk,20,BQ,1557525300,74,12.15,-68.27,82.4,18.34
414,Istok,70,PL,1557530396,81,52.85,23.44,47.86,1.61
415,Viedma,38,AR,1557530516,76,-40.81,-62.99,52.61,7.9
416,Ilo,90,PE,1557525600,82,-17.65,-71.34,68.0,6.93
417,Flin Flon,75,CA,1557529200,32,54.77,-101.88,55.4,3.36
418,Port Hedland,0,AU,1557527400,26,-20.31,118.58,62.6,12.75
419,Gornopravdinsk,33,RU,1557530518,72,60.06,69.92,45.41,7.96
420,Baykit,100,RU,1557530518,89,61.68,96.39,28.31,8.08
421,Poronaysk,69,RU,1557530519,58,49.22,143.1,48.83,15.57
422,Srednekolymsk,82,RU,1557530519,71,67.46,153.71,40.91,8.25
423,Fernie,75,CA,1557530160,28,49.5,-115.06,65.14,5.82
424,Biloela,0,AU,1557530519,24,-24.4,150.51,63.05,25.26
425,Puerto Carreno,40,CO,1557525600,66,6.19,-67.49,87.8,6.22
426,Antofagasta,90,CL,1557525600,72,-23.65,-70.4,59.0,12.75
427,Solnechnyy,16,RU,1557530526,41,50.72,136.64,50.63,5.23
428,Saint-Augustin,90,FR,1557530291,87,44.83,-0.61,57.69,13.87
429,Itarema,100,BR,1557530527,92,-2.92,-39.92,76.73,6.91
430,Tecoanapa,75,MX,1557524880,70,16.99,-99.26,84.2,9.17
431,Kainan,40,JP,1557530257,77,34.15,135.21,65.39,5.82
432,Mirnyy,100,RU,1557530528,95,56.57,36.46,59.09,7.14
433,Coihaique,90,CL,1557525600,76,-45.58,-72.07,49.69,8.05
434,Kungurtug,13,RU,1557530529,45,50.6,97.53,24.35,2.51
435,Tagusao,90,PH,1557530529,71,9.19,117.81,84.47,7.61
436,Noumea,75,NC,1557527400,61,-22.28,166.46,82.4,5.82
437,Freeport,75,BS,1557525600,65,26.54,-78.7,82.4,8.05
438,Nykoping,90,SE,1557526800,100,58.75,17.01,41.79,5.82
439,Okha,32,RU,1557530530,85,53.59,142.95,35.87,5.01
440,Esil,30,KZ,1557530531,49,51.96,66.41,63.95,7.54
441,Huntsville,90,US,1557530409,88,34.73,-86.59,71.55,3.78
442,Esso,97,RU,1557530531,70,55.93,158.7,38.93,4.59
443,Kruisfontein,0,ZA,1557530532,56,-34.0,24.73,56.39,3.36
444,Katherine,100,AU,1557527400,27,-14.47,132.26,66.2,12.75
445,Monforte de Lemos,33,ES,1557530407,90,42.52,-7.51,51.01,1.01
446,Laguna,0,MX,1557530533,42,27.52,-110.01,75.29,7.49
447,Presque Isle,90,US,1557530294,86,46.68,-68.02,39.97,16.11
448,Calabar,100,NG,1557530534,94,4.98,8.34,75.83,3.69
449,Teguise,75,ES,1557529200,77,29.06,-13.56,68.0,13.87
450,Hartselle,90,US,1557530526,83,34.44,-86.94,70.9,6.93
451,Pitimbu,20,BR,1557525600,88,-7.47,-34.81,78.8,5.82
452,Quatre Cocos,40,MU,1557530346,60,-20.21,57.76,75.09,5.82
453,High Wycombe,40,GB,1557530526,93,51.63,-0.75,47.48,3.36
454,San Cristobal,40,EC,1557530177,76,-0.39,-78.55,57.42,12.75
455,Ixtapa,0,MX,1557530405,81,20.71,-105.21,79.0,11.12
456,Tongchuan,0,CN,1557525600,56,34.9,108.95,68.0,6.71
457,Major Isidoro,83,BR,1557530536,89,-9.53,-36.99,70.61,7.85
458,Madang,87,PG,1557530537,83,-5.21,145.81,78.89,1.41
459,Taoudenni,0,ML,1557530463,5,22.68,-3.98,92.39,10.2
460,Tazmalt,0,DZ,1557529200,93,36.39,4.4,62.6,6.93
461,Yelizovo,52,RU,1557527400,65,53.19,158.38,44.6,4.47
462,Nioki,100,CD,1557530538,90,-2.72,17.69,72.59,4.36
463,Port-Cartier,90,CA,1557530307,80,50.03,-66.88,39.76,14.99
464,Dudinka,75,RU,1557527400,92,69.41,86.18,26.6,11.18
465,Ciudad Bolivar,99,VE,1557530406,50,8.12,-63.55,89.69,10.63
466,Palmas,20,BR,1557525600,66,-10.18,-48.33,84.2,1.99
467,Sursee,75,CH,1557530536,93,47.17,8.11,50.61,2.24
468,Maningrida,83,AU,1557530540,55,-12.05,134.23,76.91,17.56
469,Zaysan,45,KZ,1557530540,49,47.47,84.87,47.75,2.53
470,Qaqortoq,75,GL,1557528600,89,60.72,-46.03,39.2,10.29
471,Moyale,93,ET,1557530541,93,3.52,39.05,69.71,9.55
472,Deputatskiy,91,RU,1557530541,97,69.3,139.9,29.75,4.9
473,Sovetskoye,99,UA,1557530541,91,45.57,34.49,51.17,1.9
474,Sampit,60,ID,1557530542,93,-2.54,112.95,76.55,2.39
475,Xichang,88,CN,1557530542,84,27.88,102.25,52.97,1.66
476,Yokadouma,100,CM,1557530543,98,3.52,15.05,71.33,2.46
477,Road Town,40,VG,1557530232,78,18.42,-64.62,79.7,6.93
478,Almeirim,20,PT,1557530437,87,39.21,-8.63,57.52,10.29
479,Saskatoon,75,CA,1557530217,58,52.13,-106.66,53.28,21.92
480,Varnavino,0,RU,1557530544,88,61.19,46.56,55.67,5.59
481,Gamba,0,CN,1557530544,47,28.28,88.52,30.65,3.06
482,Ambulu,35,ID,1557530544,77,-8.35,113.61,79.61,10.42
483,Muros,75,ES,1557530506,93,42.77,-9.06,52.32,2.24
484,Makakilo City,1,US,1557530351,58,21.35,-158.09,81.09,10.29
485,Oyama,75,JP,1557530543,77,36.31,139.8,71.01,5.82
486,Volga,1,US,1557530404,33,44.32,-96.93,57.09,8.05
487,Derzhavinsk,24,KZ,1557530546,50,51.1,66.31,63.95,10.22
488,Parral,0,CL,1557530384,62,-36.14,-71.82,56.28,6.93
489,Havelock,1,US,1557530545,64,34.88,-76.9,76.53,11.41
490,Cairns,71,AU,1557530118,44,-16.92,145.77,77.32,18.34
491,Ayutthaya,40,TH,1557530368,88,14.36,100.57,80.38,4.7
492,Digby,100,CA,1557530292,94,44.62,-65.76,43.3,5.99
493,Mao,40,DO,1557530430,58,19.55,-71.08,82.63,18.34
494,Gao,0,ML,1557530409,5,16.28,-0.04,92.21,8.7
495,Roald,100,NO,1557530401,75,62.58,6.12,38.03,9.17
496,Aylesbury,84,GB,1557530539,93,51.82,-0.81,47.68,2.24
497,Vestmannaeyjar,1,IS,1557530549,54,63.44,-20.27,40.73,13.33
498,Verrettes,40,HT,1557529200,66,19.05,-72.47,84.2,13.87
499,Thai Binh,20,VN,1557527400,94,20.45,106.33,75.2,3.36
500,Poroshkovo,52,UA,1557530380,79,48.67,22.75,48.06,1.34
501,Tautira,75,PF,1557529391,70,-17.73,-149.15,84.09,10.29
502,Vila Velha,0,BR,1557530297,78,-3.71,-38.6,81.61,5.82
503,Veseloyarsk,0,RU,1557530551,37,51.29,81.11,45.23,14.05
504,Minab,7,IR,1557525600,54,27.15,57.07,79.95,1.52
505,Tuy Hoa,94,VN,1557530552,80,13.08,109.3,78.89,4.18
506,Atambua,71,ID,1557530552,73,-9.11,124.89,81.95,15.26
507,Isangel,75,VU,1557525600,78,-19.55,169.27,82.4,5.82
508,Colomi,20,BO,1557529200,43,-17.34,-65.87,69.8,9.17
509,Elat,100,CM,1557530553,98,2.91,11.16,68.81,0.65
510,Mehamn,33,NO,1557530554,75,71.03,27.85,37.85,12.75
511,College,75,US,1557530436,32,64.86,-147.8,65.08,9.17
512,Hambantota,11,LK,1557530554,79,6.12,81.12,83.21,15.01
513,Haines Junction,16,CA,1557530555,32,60.75,-137.51,50.99,18.7
514,Moba,83,CD,1557530555,95,-7.04,29.77,61.07,2.91
515,Oum Hadjer,22,TD,1557530416,9,13.3,19.7,93.11,14.43
516,Ostrovnoy,94,RU,1557530556,87,68.05,39.51,36.59,16.64
517,Coquimbo,0,CL,1557530426,82,-29.95,-71.34,57.6,8.05
518,Tilichiki,73,RU,1557530557,27,60.47,166.1,47.03,11.43
519,San Luis,0,AR,1557530557,47,-33.3,-66.34,52.97,5.17
520,Tromso,0,NO,1557528600,52,69.65,18.96,46.4,16.11
521,Chipiona,4,PE,1557530558,75,-14.54,-75.2,67.19,9.01
522,Vila Franca do Campo,75,PT,1557529200,93,37.72,-25.43,64.4,12.75
523,Yangcun,17,CN,1557530520,78,29.98,118.17,71.01,2.15
524,Honiara,75,SB,1557525600,79,-9.43,159.96,84.2,2.24
525,Hellvik,40,NO,1557530522,81,59.92,5.78,42.94,26.4
526,Kayerkan,75,RU,1557527400,92,69.35,87.76,26.6,11.18
527,Kasempa,81,ZM,1557530560,73,-13.46,25.83,59.63,5.28
528,Progreso,40,UY,1557530177,87,-34.68,-56.22,58.87,9.17
529,Kieta,74,PG,1557530561,51,-6.22,155.63,87.35,4.52
530,Sabzevar,100,IR,1557530365,46,36.21,57.68,69.35,2.42
531,Poltavka,52,RU,1557530561,36,54.36,71.76,56.21,7.76
532,Hay River,20,CA,1557529200,52,60.82,-115.79,46.4,6.93
533,Blairmore,90,CA,1557530160,48,49.61,-114.44,62.33,5.82
